F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3917.212121,3911.030303,4338.090909,4509.121212,4238.151515,4381.363636,5042.30303,4188.181818,-1
3918.242424,3914.121212,4344.272727,4510.151515,4241.242424,4383.939394,5040.242424,4192.818181,-1
3918.757575,3915.151515,4344.787878,4512.212121,4229.393939,4379.30303,5043.333333,4185.090909,-1
3917.212121,3913.60606,4341.181818,4510.666666,4219.60606,4375.181818,5039.727272,4178.90909,-1
3916.181818,3910.515151,4337.575757,4510.151515,4219.090909,4377.242424,5034.575757,4184.060606,-1
3916.181818,3908.969697,4335.515151,4510.151515,4219.090909,4378.787878,5034.575757,4189.212121,-1
3917.727272,3914.636363,4331.90909,4508.090909,4223.727272,4379.818181,5042.30303,4190.757575,-1
3918.242424,3911.545454,4328.30303,4510.151515,4230.939394,4384.454545,5051.060606,4196.939394,-1
3915.666666,3900.727272,4331.90909,4511.181818,4228.878787,4384.969697,5043.848484,4201.060606,-1
3916.181818,3900.727272,4338.090909,4512.212121,4226.30303,4375.696969,5025.30303,4188.696969,-1
3917.727272,3904.333333,4341.181818,4518.393939,4237.121212,4374.666666,5025.30303,4173.757575,-1
3916.696969,3899.696969,4343.242424,4520.969697,4248.454545,4384.969697,5039.212121,4173.757575,-1
3917.212121,3896.60606,4338.60606,4512.727272,4236.090909,4376.727272,5032.515151,4175.30303,-1
3919.272727,3897.636363,4327.787878,4508.090909,4212.393939,4356.121212,5008.818181,4167.575757,-1
3920.30303,3895.575757,4323.151515,4510.666666,4200.030303,4351.484848,4995.424242,4164.484848,-1
3919.272727,3894.545454,4324.181818,4509.636363,4192.30303,4355.090909,5003.666666,4161.393939,-1
3919.787878,3897.121212,4323.666666,4508.090909,4190.757575,4356.636363,5021.696969,4159.848484,-1
3918.242424,3895.575757,4321.60606,4510.666666,4203.636363,4360.757575,5022.727272,4166.545454,-1
3914.636363,3896.090909,4319.545454,4511.181818,4212.90909,4360.242424,5006.757575,4172.212121,-1
3915.666666,3897.636363,4321.090909,4511.181818,4210.848484,4357.151515,5002.121212,4171.181818,-1
3918.757575,3897.636363,4328.818181,4511.696969,4213.939394,4362.30303,5016.545454,4165,-1
3919.787878,3897.121212,4331.393939,4514.272727,4219.090909,4365.393939,5024.272727,4165,-1
3917.212121,3896.60606,4324.696969,4514.272727,4216.515151,4358.696969,5012.424242,4170.666666,-1
3914.636363,3896.090909,4323.666666,4510.151515,4215.484848,4359.212121,5003.666666,4175.818181,-1
3918.242424,3896.60606,4326.757575,4510.151515,4220.636363,4369,5013.969696,4178.90909,-1
3918.242424,3896.60606,4324.696969,4512.727272,4230.424242,4373.121212,5025.30303,4179.939394,-1
3915.151515,3895.060606,4321.60606,4511.696969,4239.696969,4370.545454,5021.696969,4179.424242,-1
3917.212121,3893,4320.060606,4511.696969,4233.515151,4364.878787,5013.454545,4175.818181,-1
3918.242424,3893,4318,4513.757575,4221.151515,4361.787878,5011.393939,4176.848484,-1
3916.181818,3894.030303,4319.030303,4513.242424,4224.242424,4363.848484,5012.424242,4178.393939,-1
3916.181818,3896.60606,4323.666666,4513.757575,4235.060606,4366.939394,5015,4170.151515,-1
3917.727272,3897.636363,4326.242424,4512.727272,4240.212121,4371.060606,5017.060606,4164.484848,-1
3918.242424,3894.545454,4327.272727,4513.242424,4241.757575,4371.060606,5019.636363,4172.212121,-1
3918.242424,3896.090909,4330.878787,4517.363636,4243.818181,4371.060606,5020.666666,4180.454545,-1
