F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3953.787878,3919.272727,4286.060606,4456.575757,4257.727272,4350.969697,5023.242424,4231.454545,0
3957.393939,3919.272727,4285.545454,4462.757575,4259.787878,4355.60606,5019.121212,4231.454545,0
3947.60606,3918.242424,4287.090909,4465.333333,4255.666666,4352.515151,5016.030303,4230.424242,0
3925.969697,3920.818181,4297.393939,4474.60606,4252.575757,4353.030303,5016.030303,4228.878787,0
3927.515151,3913.60606,4293.272727,4474.60606,4234.545454,4345.30303,5011.90909,4217.545454,0
3946.060606,3899.181818,4284.515151,4469.454545,4213.939394,4331.393939,5007.787878,4209.818181,0
3950.181818,3904.848484,4297.393939,4476.151515,4222.181818,4330.363636,5007.787878,4210.848484,0
3951.212121,3924.424242,4309.757575,4477.181818,4232.484848,4333.969697,5013.454545,4220.636363,0
3957.909091,3925.969697,4296.878787,4466.878787,4214.969697,4325.212121,5013.969696,4239.181818,0
3949.666666,3916.696969,4282.969697,4460.696969,4202.090909,4321.60606,5003.151515,4234.545454,0
3937.30303,3913.60606,4279.878787,4451.424242,4208.787878,4328.818181,4998.515151,4213.939394,0
3937.30303,3907.424242,4267,4431.848484,4221.666666,4335.515151,5007.272727,4216,0
3944,3903.30303,4258.757575,4429.272727,4241.242424,4348.90909,5020.666666,4235.575757,0
3935.757575,3903.818181,4265.969697,4444.727272,4258.242424,4357.151515,5022.212121,4230.424242,0
3923.909091,3904.333333,4275.757575,4460.181818,4260.30303,4354.575757,5012.939393,4205.696969,0
3930.60606,3905.363636,4282.454545,4472.030303,4250.515151,4351.484848,5011.393939,4206.212121,0
3930.60606,3901.242424,4282.454545,4471,4231.454545,4342.212121,5007.272727,4212.90909,0
3924.424242,3901.757575,4289.666666,4466.878787,4217.030303,4333.969697,4996.454545,4202.60606,0
3937.30303,3911.030303,4301.515151,4474.090909,4219.090909,4332.424242,4992.848484,4200.545454,0
3948.121212,3913.090909,4302.030303,4477.181818,4215.484848,4328.818181,5001.60606,4216.515151,0
3946.575757,3916.181818,4294.818181,4468.939393,4200.545454,4322.636363,5008.30303,4226.30303,0
3952.242424,3920.818181,4285.030303,4456.575757,4189.212121,4321.60606,5000.575757,4220.121212,0
3951.212121,3909.484848,4274.727272,4443.696969,4188.696969,4322.121212,4995.424242,4223.727272,0
3941.424242,3904.848484,4271.636363,4440.090909,4207.757575,4329.333333,5007.272727,4233,0
3954.818181,3920.30303,4275.757575,4445.757575,4226.818181,4341.181818,5021.696969,4233.515151,0
3978,3924.424242,4275.757575,4444.212121,4229.393939,4344.787878,5023.757575,4237.121212,0
3966.666666,3916.696969,4277.818181,4446.272727,4233,4343.757575,5017.575757,4241.757575,0
3940.909091,3917.212121,4289.666666,4460.696969,4241.242424,4344.787878,5012.424242,4229.393939,0
3941.939394,3912.575757,4293.272727,4467.393939,4234.545454,4338.60606,5004.181818,4205.696969,0
3955.848484,3905.363636,4287.60606,4468.939393,4226.30303,4331.90909,4998,4200.545454,0
3959.454545,3913.090909,4288.121212,4474.090909,4228.878787,4331.90909,5000.575757,4213.939394,0
3951.727272,3912.060606,4290.696969,4468.424242,4213.939394,4325.727272,4997.484848,4215.484848,0
3942.969697,3897.636363,4280.393939,4450.90909,4189.212121,4314.90909,4991.818181,4206.212121,0
3943.484848,3898.151515,4269.575757,4441.121212,4190.242424,4317.484848,5002.121212,4214.454545,0
3949.666666,3908.969697,4272.151515,4444.212121,4208.272727,4328.818181,5015.515151,4236.60606,0
3947.090909,3912.575757,4276.272727,4446.272727,4217.545454,4333.969697,5013.969696,4239.181818,0
3934.727272,3910,4275.242424,4440.60606,4219.090909,4332.939394,5003.151515,4221.666666,0
3934.212121,3907.939394,4274.212121,4440.60606,4223.212121,4331.393939,4999.030303,4210.333333,0
3940.393939,3907.939394,4276.787878,4456.060606,4230.424242,4336.030303,5004.181818,4210.333333,0
3938.333333,3906.909091,4283.484848,4466.363636,4231.969697,4341.181818,5006.242424,4214.454545,0
3934.212121,3904.333333,4290.181818,4467.393939,4225.787878,4337.575757,5005.727272,4223.212121,0
3930.090909,3911.545454,4301,4479.242424,4231.969697,4339.636363,5013.969696,4228.363636,0
3931.121212,3919.272727,4306.151515,4486.969697,4240.212121,4346.333333,5021.181818,4223.727272,0
3938.848484,3913.60606,4296.363636,4473.575757,4225.272727,4335.515151,5010.878787,4219.090909,0
3946.575757,3910,4287.090909,4466.878787,4204.151515,4320.060606,5001.090909,4218.060606,0
3949.666666,3919.787878,4295.333333,4475.636363,4208.787878,4327.787878,5014.484848,4225.787878,0
3945.545454,3927,4297.90909,4475.121212,4225.272727,4346.333333,5025.818181,4237.636363,0
3939.363636,3925.969697,4293.272727,4464.30303,4238.666666,4351.484848,5021.181818,4229.90909,0
3942.969697,3923.909091,4292.242424,4456.575757,4245.363636,4349.424242,5017.060606,4217.545454,0
3944,3911.545454,4279.363636,4445.242424,4231.454545,4338.090909,5009.848484,4218.060606,0
3931.121212,3901.242424,4273.696969,4441.121212,4219.090909,4327.272727,5000.060606,4219.60606,0
3920.818181,3910,4287.090909,4457.60606,4228.363636,4332.424242,5008.818181,4216,0
3923.909091,3919.272727,4291.727272,4473.060606,4231.454545,4335.515151,5013.454545,4209.30303,0
3939.878787,3922.363636,4290.181818,4473.060606,4221.151515,4329.333333,5005.212121,4206.727272,0
3954.30303,3920.818181,4293.787878,4464.30303,4214.969697,4326.757575,5009.333333,4214.454545,0
3953.787878,3921.333333,4295.848484,4463.787878,4213.424242,4326.242424,5019.121212,4221.666666,0
3951.212121,3925.454545,4298.424242,4466.878787,4208.787878,4322.121212,5017.060606,4218.060606,0
3957.393939,3921.333333,4296.363636,4462.757575,4202.60606,4321.60606,5019.636363,4227.848484,0
3955.848484,3917.727272,4290.696969,4461.727272,4211.878787,4335.515151,5037.151515,4247.939394,0
3951.212121,3928.545454,4296.363636,4469.454545,4239.696969,4355.090909,5050.030303,4246.90909,0
3956.878787,3934.727272,4299.969697,4471.515151,4256.181818,4362.818181,5049.515151,4231.969697,0
3956.363636,3924.939394,4291.727272,4462.242424,4245.363636,4353.545454,5040.757575,4219.090909,0
3948.121212,3917.727272,4287.090909,4456.575757,4228.363636,4342.212121,5028.90909,4213.424242,0
3948.636363,3919.272727,4297.393939,4465.333333,4230.424242,4344.272727,5028.90909,4226.818181,0
3942.454545,3922.363636,4307.181818,4477.696969,4232.484848,4346.848484,5032,4230.939394,0
3925.969697,3919.787878,4298.939394,4474.090909,4213.424242,4332.424242,5017.060606,4207.242424,0
3937.30303,3922.363636,4294.30303,4466.878787,4200.030303,4321.090909,5008.30303,4205.696969,0
3958.424242,3928.545454,4304.60606,4471.515151,4208.787878,4328.30303,5022.212121,4234.030303,0
3953.272727,3926.484848,4303.575757,4472.545454,4213.939394,4331.90909,5030.969696,4241.757575,0
3941.424242,3920.818181,4286.060606,4467.393939,4208.272727,4323.666666,5026.333333,4224.757575,0
3944.515151,3926.484848,4282.454545,4469.454545,4212.90909,4326.757575,5029.424242,4223.727272,0
3950.181818,3931.636363,4293.787878,4466.363636,4229.393939,4339.636363,5033.545454,4231.969697,0
3941.939394,3921.848484,4290.181818,4457.090909,4239.181818,4343.242424,5028.393939,4225.787878,0
3932.666666,3919.272727,4280.90909,4459.666666,4246.90909,4350.454545,5033.030303,4221.666666,0
3938.848484,3931.121212,4283.484848,4466.878787,4252.575757,4361.787878,5038.181818,4221.151515,0
3945.030303,3934.212121,4286.575757,4462.242424,4239.181818,4354.060606,5023.757575,4213.424242,0
3935.242424,3921.848484,4279.363636,4454.515151,4217.030303,4335,5004.181818,4200.545454,0
