F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3923.909091,3905.878787,4308.727272,4480.272727,4220.636363,4353.030303,5019.121212,4203.121212,-1
3922.878787,3897.636363,4297.90909,4470.484848,4222.181818,4353.030303,5006.757575,4204.151515,-1
3915.666666,3896.60606,4288.636363,4469.969697,4225.787878,4350.969697,5004.181818,4195.393939,-1
3906.393939,3895.575757,4290.181818,4472.545454,4220.121212,4345.30303,5000.575757,4182,-1
3908.454545,3889.393939,4290.696969,4467.90909,4216.515151,4347.878787,4985.636363,4182,-1
3912.575757,3885.272727,4290.181818,4469.969697,4221.666666,4355.090909,4985.121212,4187.666666,-1
3910.515151,3891.969697,4293.787878,4477.696969,4221.151515,4351.484848,5007.272727,4192.30303,-1
3913.090909,3899.181818,4293.787878,4471.515151,4213.424242,4341.696969,5011.90909,4199.515151,-1
3921.333333,3898.151515,4296.878787,4467.393939,4215.484848,4349.939394,5000.060606,4203.636363,-1
3929.060606,3899.696969,4306.151515,4481.30303,4232.484848,4360.757575,5012.424242,4201.060606,-1
3931.636363,3905.363636,4307.696969,4484.393939,4245.878787,4359.727272,5034.575757,4203.121212,-1
3930.090909,3907.939394,4304.090909,4474.60606,4242.787878,4369.515151,5033.545454,4208.272727,-1
3927,3902.787878,4303.575757,4474.090909,4234.030303,4375.181818,5016.545454,4203.121212,-1
3922.363636,3898.666666,4304.60606,4478.212121,4228.363636,4360.242424,5003.666666,4185.60606,-1
3918.757575,3900.212121,4304.60606,4480.272727,4222.696969,4353.030303,5003.666666,4170.666666,-1
3915.151515,3896.60606,4299.454545,4476.666666,4219.60606,4357.151515,5011.90909,4174.787878,-1
3914.636363,3894.030303,4293.272727,4467.393939,4228.878787,4359.727272,5011.393939,4189.727272,-1
3909.484848,3896.090909,4294.30303,4466.363636,4233,4357.666666,4999.030303,4187.151515,-1
3900.727272,3889.909091,4294.818181,4476.666666,4218.575757,4348.90909,4995.939393,4169.121212,-1
3905.363636,3886.30303,4291.212121,4478.727272,4214.454545,4342.212121,5007.272727,4167.060606,-1
3916.696969,3898.666666,4293.787878,4470.484848,4232.484848,4353.030303,5011.393939,4180.969697,-1
3912.060606,3905.363636,4302.545454,4472.545454,4244.333333,4364.363636,5005.212121,4187.151515,-1
3899.181818,3895.575757,4306.666666,4483.363636,4234.545454,4361.272727,5003.151515,4182.515151,-1
3904.333333,3891.454545,4305.121212,4482.848484,4226.30303,4359.212121,5004.696969,4188.181818,-1
3919.272727,3899.696969,4305.121212,4476.151515,4229.90909,4364.363636,5012.424242,4202.090909,-1
3919.787878,3899.696969,4305.121212,4476.151515,4230.424242,4361.272727,5020.666666,4199.515151,-1
3912.575757,3894.030303,4299.969697,4472.030303,4227.848484,4352,5016.030303,4183.030303,-1
3913.090909,3894.030303,4291.727272,4467.393939,4228.363636,4351.484848,4999.030303,4177.363636,-1
3917.212121,3899.696969,4291.727272,4474.090909,4234.030303,4356.121212,4993.878787,4180.454545,-1
3919.787878,3902.787878,4295.333333,4481.30303,4245.878787,4358.181818,5007.272727,4184.575757,-1
3916.181818,3898.666666,4293.272727,4479.242424,4246.393939,4360.757575,5011.90909,4189.212121,-1
3912.060606,3901.757575,4294.818181,4478.727272,4234.030303,4361.787878,5004.696969,4186.636363,-1
3919.272727,3910,4309.757575,4486.969697,4230.424242,4362.30303,5007.272727,4179.939394,-1
3923.909091,3906.909091,4317.484848,4492.636363,4235.575757,4361.787878,5012.939393,4183.545454,-1
3922.363636,3901.242424,4311.818181,4492.121212,4241.242424,4359.727272,5012.424242,4189.212121,-1
3926.484848,3905.363636,4313.363636,4491.60606,4252.060606,4367.969697,5017.575757,4190.757575,-1
3929.060606,3908.969697,4319.545454,4497.272727,4252.060606,4374.151515,5021.181818,4193.333333,-1
3922.363636,3906.909091,4307.696969,4498.30303,4235.060606,4361.272727,5016.545454,4192.30303,-1
3913.60606,3901.757575,4291.727272,4495.212121,4227.333333,4351.484848,5014.484848,4191.272727,-1
3906.393939,3895.060606,4290.181818,4502.939393,4234.030303,4356.121212,5000.575757,4192.818181,-1
3903.30303,3894.545454,4292.757575,4513.757575,4231.454545,4352.515151,4981.515151,4177.363636,-1
3910.515151,3898.666666,4294.30303,4512.212121,4225.787878,4346.333333,4994.90909,4166.030303,-1
3916.181818,3899.181818,4299.969697,4508.60606,4236.60606,4355.090909,5021.181818,4187.151515,-1
3911.030303,3898.151515,4301.515151,4513.757575,4246.90909,4361.272727,5022.212121,4207.242424,-1
3908.454545,3899.696969,4303.060606,4515.818181,4247.424242,4363.333333,5017.575757,4199.515151,-1
