F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3884.757575,3854.363636,4218.575757,4434.424242,4156.242424,4269.060606,4922.272727,4087.727272,0
3867.757575,3855.909091,4235.575757,4440.60606,4166.545454,4276.787878,4935.151515,4079.484848,0
3852.818181,3844.060606,4248.969697,4439.575757,4176.848484,4292.242424,4936.696969,4080,0
3852.818181,3835.818181,4242.787878,4434.424242,4181.484848,4300.484848,4932.060606,4080,0
3852.818181,3833.757575,4231.454545,4430.818181,4188.696969,4302.030303,4941.333333,4083.090909,0
3854.878787,3837.878787,4235.575757,4432.363636,4200.545454,4313.363636,4960.393939,4102.666666,0
3873.939394,3847.666666,4241.757575,4430.818181,4195.90909,4322.121212,4961.424242,4124.30303,0
3889.909091,3857.454545,4232.484848,4417.939394,4165,4304.60606,4950.60606,4128.424242,0
3895.060606,3862.090909,4222.696969,4406.090909,4138.212121,4282.454545,4953.181818,4127.909091,0
3900.727272,3865.696969,4225.272727,4408.666666,4131.515151,4278.333333,4956.787878,4137.181818,0
3902.272727,3874.454545,4231.969697,4415.878787,4129.454545,4274.727272,4954.727272,4149.545454,0
3896.090909,3875.484848,4226.30303,4414.848484,4129.454545,4267.515151,4952.666666,4145.424242,0
3885.272727,3852.818181,4215.484848,4418.454545,4139.757575,4268.030303,4938.757575,4120.181818,0
3873.424242,3834.787878,4218.575757,4429.272727,4161.393939,4276.272727,4923.818181,4104.212121,0
3863.121212,3837.363636,4229.393939,4435.454545,4187.666666,4289.151515,4929.484848,4110.393939,0
3862.60606,3837.363636,4235.060606,4441.121212,4210.333333,4306.151515,4943.90909,4116.060606,0
3870.333333,3836.848484,4239.181818,4446.787878,4218.575757,4319.030303,4951.636363,4122.757575,0
3872.393939,3845.60606,4241.757575,4442.666666,4214.454545,4315.939394,4966.575757,4130.484848,0
3871.878787,3856.424242,4238.151515,4433.90909,4202.090909,4307.696969,4984.090909,4127.909091,0
3877.030303,3859.515151,4227.848484,4423.60606,4175.30303,4305.121212,4970.696969,4120.696969,0
3885.787878,3852.30303,4221.666666,4411.242424,4138.727272,4298.939394,4940.818181,4119.666666,0
3901.757575,3850.757575,4222.181818,4400.939394,4112.969697,4287.60606,4938.242424,4123.787878,0
3908.454545,3862.090909,4219.60606,4397.333333,4105.757575,4274.727272,4944.939393,4128.939394,0
3896.60606,3868.787878,4211.363636,4403.515151,4120.696969,4269.060606,4936.696969,4135.121212,0
3883.212121,3856.939394,4209.818181,4413.30303,4154.181818,4274.212121,4935.666666,4136.666666,0
3874.969697,3844.060606,4210.848484,4417.424242,4177.363636,4280.90909,4941.333333,4121.727272,0
3865.696969,3848.181818,4214.969697,4425.666666,4185.60606,4287.60606,4936.181818,4099.060606,0
3852.30303,3848.181818,4225.272727,4437,4193.848484,4294.30303,4927.424242,4090.818181,0
3846.121212,3844.060606,4233.515151,4437.515151,4201.060606,4301,4938.242424,4104.727272,0
3848.696969,3844.060606,4235.575757,4433.90909,4196.424242,4306.151515,4957.818181,4120.181818,0
3850.757575,3838.909091,4231.969697,4435.454545,4180.454545,4304.090909,4958.848484,4122.242424,0
3861.060606,3838.393939,4233.515151,4434.939394,4172.727272,4303.575757,4955.242424,4133.575757,0
3880.636363,3848.696969,4234.030303,4425.151515,4164.484848,4305.636363,4958.848484,4149.545454,0
3893.515151,3854.878787,4224.242424,4410.727272,4137.696969,4297.90909,4953.696969,4143.878787,0
3892.484848,3849.212121,4213.939394,4404.030303,4109.878787,4280.393939,4942.363636,4131.515151,0
3890.939394,3847.666666,4214.454545,4407.636363,4101.121212,4264.939394,4942.878787,4133.060606,0
3893,3857.454545,4215.484848,4407.636363,4115.545454,4262.363636,4954.727272,4146.969697,0
3888.878787,3859.515151,4202.60606,4407.121212,4143.878787,4269.575757,4958.333333,4157.272727,0
3888.363636,3855.393939,4197.969697,4411.757575,4174.272727,4281.424242,4950.090909,4154.181818,0
3893,3852.818181,4206.727272,4416.90909,4194.363636,4292.242424,4945.454545,4140.272727,0
3883.727272,3846.636363,4214.454545,4425.666666,4199.515151,4302.545454,4943.90909,4126.363636,0
3873.424242,3851.272727,4222.181818,4430.818181,4201.060606,4312.848484,4941.333333,4121.727272,0
3875.484848,3869.30303,4225.787878,4423.090909,4191.272727,4309.757575,4945.454545,4113.484848,0
3878.060606,3869.30303,4222.181818,4415.363636,4163.454545,4295.848484,4952.666666,4101.636363,0
3868.787878,3846.636363,4223.727272,4417.939394,4142.333333,4282.969697,4943.90909,4101.636363,0
3855.909091,3840.969697,4228.878787,4418.454545,4136.666666,4273.696969,4920.212121,4104.727272,0
3851.272727,3854.363636,4225.787878,4415.878787,4128.424242,4268.545454,4915.575757,4105.242424,0
3861.575757,3854.363636,4221.666666,4418.454545,4114.515151,4270.090909,4932.575757,4110.393939,0
3879.60606,3843.545454,4218.060606,4418.454545,4110.393939,4267,4934.636363,4122.242424,0
3891.454545,3840.969697,4209.818181,4415.363636,4122.757575,4254.636363,4926.393939,4133.060606,0
3889.909091,3846.121212,4210.848484,4420,4147.484848,4260.818181,4937.212121,4144.90909,0
3890.939394,3854.363636,4222.181818,4429.787878,4178.90909,4290.696969,4962.454545,4163.969697,0
3897.121212,3862.090909,4224.757575,4431.848484,4201.060606,4306.151515,4973.272727,4169.636363,0
3891.454545,3856.424242,4216,4427.212121,4201.575757,4304.60606,4968.636363,4148.515151,0
3872.393939,3848.181818,4211.363636,4423.090909,4190.242424,4306.666666,4961.939393,4124.818181,0
3850.242424,3840.969697,4213.424242,4420,4175.30303,4299.454545,4940.30303,4106.272727,0
3837.878787,3833.757575,4218.575757,4424.636363,4161.90909,4281.424242,4913.515151,4085.151515,0
3839.939394,3832.212121,4226.818181,4431.848484,4153.666666,4275.757575,4905.272727,4073.818181,0
3852.818181,3833.757575,4230.939394,4427.727272,4146.454545,4274.212121,4905.272727,4086.181818,0
3870.333333,3844.060606,4232.484848,4420.515151,4141.30303,4274.212121,4915.060606,4112.969697,0
3880.121212,3855.393939,4231.454545,4415.363636,4136.151515,4282.454545,4938.757575,4135.636363,0
3880.121212,3856.939394,4226.30303,4407.636363,4129.454545,4287.60606,4962.454545,4153.151515,0
3885.787878,3862.60606,4222.181818,4401.454545,4129.454545,4285.545454,4975.333333,4168.60606,0
3890.939394,3868.272727,4214.969697,4402.484848,4133.060606,4276.272727,4965.545454,4168.090909,0
3888.363636,3860.545454,4207.242424,4407.121212,4143.363636,4262.878787,4939.787878,4157.787878,0
3887.333333,3853.848484,4211.878787,4420,4171.696969,4270.090909,4944.939393,4154.696969,0
3880.636363,3852.818181,4221.151515,4432.363636,4199.515151,4300.484848,4968.121212,4146.454545,0
3864.666666,3835.30303,4220.636363,4434.424242,4205.181818,4309.242424,4961.424242,4126.363636,0
3848.696969,3820.878788,4223.727272,4435.454545,4198.484848,4292.757575,4938.757575,4108.848484,0
3844.575757,3839.424242,4237.121212,4437,4190.757575,4288.636363,4922.272727,4099.575757,0
3847.666666,3859,4240.212121,4430.818181,4178.393939,4287.60606,4905.272727,4094.424242,0
3853.848484,3853.333333,4234.030303,4419.484848,4157.272727,4273.696969,4906.30303,4095.454545,0
3860.545454,3850.242424,4237.636363,4414.848484,4138.212121,4268.545454,4926.393939,4110.909091,0
3862.60606,3859,4240.212121,4417.424242,4127.909091,4277.818181,4936.696969,4134.60606,0
3866.727272,3862.60606,4229.90909,4413.30303,4121.727272,4289.151515,4952.151515,4150.060606,0
3876.515151,3857.454545,4214.454545,4405.060606,4116.060606,4286.575757,4974.818181,4152.121212,0
3886.818181,3858.484848,4206.727272,4407.636363,4122.757575,4276.787878,4976.363636,4153.151515,0
3893.515151,3866.727272,4204.151515,4416.90909,4156.757575,4284,4972.242424,4160.878787,0
3888.363636,3859.515151,4199.515151,4419.484848,4190.242424,4295.333333,4970.181818,4160.363636,0
3874.454545,3845.090909,4200.030303,4422.060606,4197.454545,4291.212121,4956.787878,4144.393939,0
3866.212121,3836.848484,4210.333333,4429.272727,4193.848484,4288.636363,4945.969696,4125.848484,0
3861.060606,3832.212121,4220.121212,4433.393939,4196.939394,4300.484848,4939.787878,4119.151515,0
3852.818181,3839.424242,4230.424242,4430.30303,4197.969697,4308.727272,4928.969696,4133.060606,0
3846.121212,3846.636363,4239.696969,4424.121212,4186.121212,4301,4934.121212,4142.333333,0
3853.848484,3845.60606,4241.757575,4418.969697,4163.969697,4292.242424,4956.272727,4129.969697,0
3876,3852.818181,4238.666666,4416.393939,4134.60606,4286.575757,4956.272727,4115.545454,0
