F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3913.090909,3837.363636,4228.878787,4390.121212,4150.575757,4281.424242,4925.878787,4008.909091,0
3918.757575,3840.969697,4218.575757,4387.545454,4143.363636,4270.60606,4918.151515,4001.696969,0
3914.121212,3850.242424,4216,4386,4135.636363,4269.575757,4921.242424,3989.848484,0
3914.121212,3843.030303,4218.060606,4387.030303,4136.666666,4277.30303,4927.424242,3986.757575,0
3917.727272,3842,4216,4387.030303,4137.696969,4277.818181,4924.333333,3988.30303,0
3914.121212,3858.484848,4218.060606,4388.575757,4134.60606,4273.181818,4920.727272,3988.30303,0
3914.121212,3855.909091,4219.60606,4392.181818,4138.212121,4270.090909,4923.30303,3989.333333,0
3913.60606,3845.090909,4222.181818,4388.060606,4145.939394,4279.363636,4936.181818,4001.696969,0
3917.212121,3842,4223.212121,4382.90909,4145.939394,4288.121212,4937.727272,4005.30303,0
3918.757575,3844.060606,4224.242424,4384.454545,4146.454545,4288.636363,4920.727272,3999.121212,0
3914.121212,3856.939394,4226.818181,4384.969697,4151.60606,4288.636363,4923.30303,4004.787878,0
3916.181818,3856.939394,4221.666666,4384.969697,4151.090909,4284,4935.666666,4005.818181,0
3916.181818,3848.696969,4222.696969,4390.636363,4149.030303,4282.969697,4932.575757,4004.272727,0
3916.181818,3849.727272,4222.181818,4395.272727,4149.545454,4281.939394,4922.272727,4006.333333,0
3915.151515,3854.878787,4217.030303,4392.181818,4143.878787,4272.666666,4927.939393,4001.181818,0
3910,3856.939394,4225.272727,4390.636363,4140.272727,4271.636363,4933.60606,3995.515151,0
3915.151515,3846.121212,4225.787878,4391.666666,4142.848484,4278.848484,4919.696969,3990.363636,0
3916.181818,3839.424242,4219.60606,4387.030303,4145.939394,4284.515151,4925.878787,3990.878787,0
3916.696969,3847.666666,4222.696969,4384.454545,4149.030303,4286.575757,4945.454545,3997.060606,0
3919.787878,3853.848484,4229.393939,4385.484848,4149.545454,4285.030303,4937.727272,3999.636363,0
3915.151515,3849.727272,4229.90909,4383.424242,4150.060606,4286.060606,4927.939393,4001.181818,0
3917.727272,3849.212121,4224.242424,4382.90909,4150.575757,4282.969697,4931.545454,3998.60606,0
3917.727272,3852.818181,4223.727272,4381.878787,4148.515151,4282.969697,4933.090909,3998.60606,0
3914.636363,3832.212121,4222.696969,4381.363636,4147.484848,4287.090909,4926.90909,4000.151515,0
3917.212121,3826.030303,4217.030303,4386.515151,4146.969697,4279.878787,4921.242424,3992.424242,0
3915.666666,3856.424242,4220.121212,4387.030303,4148.515151,4276.787878,4925.878787,3991.909091,0
3918.242424,3861.060606,4226.818181,4385.484848,4151.090909,4287.090909,4931.545454,3999.121212,0
3916.696969,3843.545454,4228.878787,4387.545454,4148,4288.636363,4941.333333,3998.60606,0
3911.545454,3851.272727,4229.393939,4387.545454,4150.060606,4278.333333,4945.969696,3992.424242,0
3915.151515,3848.181818,4223.212121,4387.545454,4159.848484,4277.818181,4936.696969,3990.878787,0
3915.151515,3828.090909,4211.878787,4386,4160.363636,4290.696969,4941.333333,3997.575757,0
3916.696969,3831.696969,4205.181818,4381.878787,4154.696969,4288.636363,4934.636363,3993.454545,0
