F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3915.151515,3892.484848,4275.757575,4425.666666,4183.545454,4340.666666,4987.181818,3973.363636,1
3920.818181,3899.181818,4274.727272,4428.242424,4186.121212,4339.636363,5001.60606,3983.151515,1
3916.696969,3898.666666,4278.848484,4426.696969,4184.060606,4337.575757,4978.939393,3995,1
3916.181818,3887.333333,4276.787878,4418.454545,4180.969697,4335,4959.363636,3995.515151,1
3919.787878,3887.848484,4272.666666,4417.424242,4182.515151,4338.60606,4976.363636,3990.878787,1
3917.212121,3900.212121,4273.696969,4420.515151,4189.727272,4344.272727,4996.454545,4000.666666,1
3918.242424,3897.636363,4269.060606,4418.454545,4188.181818,4339.121212,4989.757575,4004.787878,1
3913.090909,3896.60606,4268.545454,4416.90909,4178.393939,4333.969697,4991.818181,3998.60606,1
3913.090909,3882.696969,4277.30303,4425.151515,4178.393939,4339.636363,4993.878787,3996.545454,1
3919.272727,3868.272727,4281.424242,4430.30303,4182,4339.121212,4964,4004.787878,1
3914.636363,3889.393939,4279.363636,4422.575757,4179.939394,4340.666666,4958.848484,4014.575757,1
3913.60606,3912.060606,4266.484848,4416.90909,4176.333333,4348.393939,4992.333333,4006.848484,1
3917.212121,3904.333333,4260.30303,4418.454545,4182,4348.90909,5012.939393,3992.424242,1
3916.696969,3884.242424,4271.121212,4422.060606,4190.757575,4343.242424,5009.848484,3992.424242,1
3916.181818,3884.242424,4279.363636,4424.636363,4190.242424,4342.727272,4996.969696,4003.757575,1
3915.151515,3897.636363,4280.393939,4420.515151,4183.030303,4351.484848,4993.363636,4015.60606,1
3917.212121,3903.818181,4280.90909,4414.848484,4178.90909,4348.90909,4991.30303,4013.545454,1
3917.212121,3902.272727,4281.424242,4420.515151,4182,4343.757575,4982.030303,4010.454545,1
3917.727272,3893.515151,4284,4429.787878,4185.60606,4348.90909,4982.030303,4006.848484,1
3919.787878,3886.818181,4288.121212,4430.818181,4186.121212,4350.454545,4987.696969,3999.121212,1
3915.666666,3897.121212,4286.575757,4427.212121,4185.60606,4346.333333,4994.393939,3992.424242,1
3917.212121,3911.545454,4281.939394,4424.121212,4181.484848,4338.60606,4996.454545,3979.545454,1
3917.727272,3910.515151,4284.515151,4423.60606,4178.90909,4336.030303,5001.090909,3981.090909,1
3914.121212,3903.30303,4284.515151,4426.181818,4176.333333,4335,4998.515151,3994.484848,1
3918.757575,3887.848484,4277.818181,4427.212121,4174.787878,4336.030303,4980.484848,3990.878787,1
3916.696969,3874.454545,4281.424242,4426.181818,4179.424242,4345.30303,4977.90909,3966.666666,1
3912.575757,3882.181818,4283.484848,4426.181818,4180.969697,4347.363636,4995.939393,3938.848484,1
3918.242424,3901.757575,4275.242424,4423.60606,4182.515151,4342.212121,4996.969696,3940.909091,1
3918.757575,3908.969697,4273.696969,4419.484848,4183.030303,4344.272727,4988.212121,3963.575757,1
3916.696969,3894.545454,4273.696969,4416.393939,4178.393939,4346.333333,4996.969696,3963.060606,1
3917.212121,3896.60606,4274.727272,4415.363636,4180.454545,4341.181818,5000.060606,3950.181818,1
3916.181818,3913.60606,4280.90909,4418.454545,4182,4339.121212,4984.090909,3951.727272,1
3916.696969,3902.787878,4275.242424,4422.060606,4178.90909,4336.545454,4978.424242,3949.666666,1
3916.696969,3879.60606,4261.848484,4422.060606,4177.363636,4335.515151,4986.151515,3932.151515,1
3918.242424,3872.909091,4264.424242,4423.60606,4175.818181,4342.727272,4994.90909,3933.696969,1
3918.242424,3886.818181,4279.363636,4424.121212,4175.30303,4349.939394,4999.030303,3955.333333,1
3916.696969,3896.090909,4276.272727,4420,4171.696969,4337.060606,4971.212121,3951.212121,1
3919.272727,3881.151515,4260.818181,4412.272727,4166.545454,4319.030303,4945.969696,3926.484848,1
3918.242424,3868.272727,4258.757575,4410.727272,4170.666666,4329.333333,4973.787878,3930.60606,1
3916.696969,3886.818181,4266.484848,4420.515151,4178.90909,4342.727272,4995.424242,3939.363636,1
3916.181818,3900.212121,4277.818181,4427.212121,4179.424242,4337.060606,4982.030303,3934.212121,1
3917.727272,3886.818181,4280.90909,4419.484848,4178.393939,4331.393939,4986.666666,3945.545454,1
3919.787878,3895.060606,4267,4415.878787,4176.848484,4335,5008.818181,3956.363636,1
3918.242424,3903.818181,4256.696969,4418.454545,4173.757575,4342.727272,4986.666666,3946.575757,1
3919.787878,3872.393939,4264.939394,4417.939394,4173.242424,4340.151515,4948.545454,3936.787878,1
3917.212121,3871.363636,4280.393939,4419.484848,4177.363636,4334.484848,4974.818181,3942.969697,1
3912.575757,3911.030303,4281.424242,4421.545454,4178.90909,4339.121212,5009.848484,3940.393939,1
3917.212121,3917.212121,4275.242424,4420.515151,4174.787878,4337.575757,4988.212121,3925.969697,1
3917.212121,3899.696969,4280.90909,4424.636363,4175.818181,4332.939394,4978.424242,3933.181818,1
3916.696969,3891.454545,4286.060606,4428.757575,4180.454545,4335.515151,4993.363636,3950.181818,1
3917.727272,3886.818181,4281.939394,4425.151515,4178.90909,4337.060606,4986.666666,3947.090909,1
3916.181818,3892.484848,4279.363636,4423.60606,4175.818181,4338.60606,4979.969696,3937.818181,1
3919.272727,3893.515151,4272.666666,4423.090909,4176.333333,4341.181818,4978.939393,3938.333333,1
3917.212121,3880.636363,4264.939394,4414.333333,4174.787878,4336.030303,4978.939393,3941.939394,1
3914.636363,3877.030303,4263.90909,4411.757575,4172.727272,4327.272727,4991.818181,3937.30303,1
3916.181818,3904.333333,4267.515151,4420,4174.272727,4331.393939,4957.818181,3951.727272,1
3920.30303,3904.333333,4268.030303,4420,4174.272727,4331.393939,4953.696969,3952.757575,1
