F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3944.515151,3940.393939,4315.424242,4501.90909,4234.030303,4367.969697,5026.848484,4230.424242,-1
3936.787878,3934.212121,4313.363636,4496.242424,4225.787878,4358.696969,5013.969696,4225.787878,-1
3929.060606,3919.272727,4296.363636,4483.878787,4211.363636,4342.727272,5003.151515,4211.363636,-1
3932.666666,3924.939394,4299.969697,4486.969697,4214.969697,4348.393939,5006.242424,4216,-1
3929.060606,3927.515151,4306.666666,4491.60606,4222.696969,4356.121212,5001.60606,4223.212121,-1
3925.454545,3912.575757,4305.636363,4491.090909,4227.333333,4356.121212,5002.121212,4220.121212,-1
3927,3913.090909,4303.060606,4490.060606,4227.333333,4356.121212,5010.878787,4210.848484,-1
3921.333333,3924.424242,4291.727272,4477.181818,4214.969697,4348.393939,5004.696969,4201.060606,-1
3920.818181,3932.666666,4293.272727,4474.60606,4212.90909,4345.30303,4996.454545,4211.363636,-1
3935.757575,3934.212121,4310.272727,4490.575757,4225.272727,4354.575757,5005.727272,4228.363636,-1
3939.363636,3919.787878,4302.545454,4484.393939,4218.060606,4350.969697,5009.333333,4219.60606,-1
3934.727272,3915.666666,4282.454545,4466.878787,4204.666666,4341.181818,5001.090909,4208.787878,-1
3943.484848,3934.727272,4295.848484,4478.727272,4212.90909,4349.939394,5005.212121,4219.60606,-1
3943.484848,3936.272727,4313.363636,4491.60606,4217.545454,4354.060606,5012.424242,4222.181818,-1
3928.030303,3912.575757,4299.454545,4476.151515,4206.212121,4340.666666,5000.575757,4207.242424,-1
3926.484848,3911.545454,4285.030303,4470.484848,4204.151515,4339.121212,4992.333333,4204.666666,-1
3937.30303,3931.636363,4298.424242,4486.969697,4215.484848,4348.393939,4999.545454,4214.969697,-1
3934.212121,3931.121212,4310.787878,4490.060606,4220.121212,4349.424242,5001.60606,4208.787878,-1
3924.424242,3924.939394,4298.939394,4480.272727,4214.454545,4347.878787,4999.545454,4198.484848,-1
3919.787878,3915.151515,4288.121212,4474.60606,4205.696969,4344.272727,4991.818181,4203.121212,-1
3911.545454,3896.60606,4290.181818,4471.515151,4199,4335,4977.393939,4202.60606,-1
3905.878787,3894.545454,4288.121212,4469.454545,4194.878787,4324.696969,4970.181818,4184.575757,-1
3914.121212,3907.939394,4287.090909,4471.515151,4196.424242,4325.212121,4978.939393,4183.545454,-1
3922.878787,3916.181818,4292.242424,4474.60606,4205.181818,4337.575757,4992.333333,4203.121212,-1
3921.333333,3919.272727,4289.151515,4473.060606,4212.90909,4345.30303,4999.030303,4211.878787,-1
3923.909091,3925.454545,4286.575757,4473.575757,4212.90909,4342.212121,4995.939393,4212.393939,-1
3934.212121,3928.545454,4290.696969,4476.151515,4210.333333,4336.030303,4994.393939,4212.90909,-1
3934.212121,3917.212121,4283.484848,4472.545454,4208.787878,4333.969697,4996.969696,4208.272727,-1
3929.060606,3907.939394,4275.242424,4469.969697,4204.666666,4337.060606,4987.696969,4208.272727,-1
3933.181818,3913.090909,4281.424242,4472.545454,4204.666666,4339.121212,4985.121212,4211.363636,-1
3933.181818,3912.060606,4286.060606,4468.939393,4210.333333,4338.60606,5000.060606,4208.787878,-1
3928.545454,3900.212121,4281.424242,4466.363636,4212.90909,4339.636363,5003.666666,4207.242424,-1
3933.181818,3910.515151,4279.363636,4469.969697,4207.757575,4340.666666,4994.90909,4211.363636,-1
3939.363636,3929.575757,4287.090909,4472.030303,4201.060606,4338.090909,4996.969696,4213.939394,-1
3937.818181,3921.848484,4292.242424,4468.939393,4200.545454,4333.969697,4994.393939,4214.969697,-1
3941.939394,3915.666666,4289.151515,4468.424242,4202.60606,4338.090909,4986.151515,4218.575757,-1
3942.969697,3913.60606,4280.393939,4464.30303,4198.484848,4340.151515,4988.727272,4215.484848,-1
3929.060606,3902.272727,4272.666666,4458.121212,4190.757575,4331.393939,4994.393939,4208.272727,-1
3932.666666,3912.575757,4283.484848,4469.969697,4199,4336.545454,5001.090909,4218.575757,-1
3948.121212,3924.939394,4297.393939,4484.393939,4211.363636,4348.90909,5009.848484,4231.454545,-1
3937.30303,3907.424242,4293.272727,4476.151515,4203.121212,4343.242424,5004.181818,4222.181818,-1
3920.818181,3900.212121,4290.181818,4469.969697,4196.939394,4337.060606,4992.333333,4212.393939,-1
3924.424242,3910.515151,4290.696969,4474.60606,4206.212121,4341.696969,4989.242424,4210.848484,-1
3930.60606,3907.939394,4284.515151,4469.454545,4203.121212,4339.121212,4991.818181,4206.727272,-1
3931.636363,3909.484848,4282.454545,4463.272727,4190.757575,4336.545454,5000.060606,4208.787878,-1
3937.30303,3924.939394,4290.181818,4472.545454,4199.515151,4345.818181,5006.757575,4211.878787,-1
3935.242424,3914.636363,4290.181818,4474.60606,4205.696969,4344.272727,4996.969696,4199,-1
3924.939394,3897.121212,4278.333333,4461.727272,4189.727272,4332.424242,4984.60606,4185.090909,-1
3925.969697,3911.030303,4273.696969,4459.666666,4188.181818,4334.484848,4990.272727,4184.575757,-1
3930.60606,3923.393939,4281.939394,4466.878787,4200.545454,4342.212121,4999.545454,4182.515151,-1
3934.212121,3917.212121,4290.696969,4472.030303,4200.030303,4342.727272,4998,4178.90909,-1
3939.878787,3920.30303,4295.848484,4476.151515,4200.545454,4344.272727,5006.757575,4185.60606,-1
3941.424242,3921.848484,4300.484848,4476.666666,4206.727272,4344.787878,5018.090909,4191.787878,-1
3938.333333,3916.696969,4302.030303,4478.212121,4208.272727,4343.757575,5012.939393,4190.757575,-1
3935.757575,3924.939394,4293.787878,4476.666666,4203.121212,4345.818181,5002.636363,4182.515151,-1
3932.666666,3930.090909,4289.666666,4475.121212,4205.696969,4349.939394,5008.30303,4178.90909,-1
3934.727272,3921.333333,4297.90909,4481.30303,4214.454545,4357.151515,5019.636363,4189.212121,-1
3939.363636,3928.545454,4303.060606,4485.939393,4216.515151,4359.727272,5017.575757,4196.424242,-1
3938.333333,3936.787878,4295.848484,4478.212121,4211.878787,4352.515151,5011.393939,4189.727272,-1
3935.757575,3913.090909,4288.636363,4472.545454,4208.272727,4349.939394,5015,4187.666666,-1
3937.30303,3903.818181,4294.30303,4477.696969,4211.878787,4355.60606,5019.636363,4196.939394,-1
3933.696969,3929.060606,4298.939394,4478.212121,4212.393939,4355.60606,5012.939393,4196.424242,-1
3923.393939,3929.060606,4290.181818,4469.969697,4204.151515,4346.848484,5002.121212,4182,-1
3921.848484,3900.727272,4281.424242,4466.878787,4201.060606,4342.212121,5001.090909,4178.393939,-1
