F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3892.484848,3891.454545,4258.242424,4432.878787,4179.939394,4328.30303,4978.424242,4178.90909,1
3891.969697,3897.121212,4270.090909,4436.484848,4191.787878,4333.969697,4981.515151,4186.121212,1
3890.939394,3897.121212,4259.272727,4427.727272,4192.818181,4335.515151,4978.424242,4189.727272,1
3901.757575,3896.090909,4258.242424,4426.181818,4195.393939,4344.787878,4994.90909,4201.060606,1
3894.030303,3881.151515,4258.242424,4423.60606,4184.060606,4337.060606,4992.333333,4195.90909,1
3888.878787,3890.424242,4264.939394,4428.242424,4181.484848,4333.454545,4983.575757,4189.727272,1
3900.727272,3917.212121,4281.939394,4444.727272,4196.939394,4351.484848,4993.363636,4201.575757,1
3902.272727,3911.545454,4280.393939,4448.848484,4198.484848,4357.151515,4999.545454,4205.696969,1
3898.151515,3897.121212,4270.60606,4443.696969,4193.848484,4352,5001.090909,4203.636363,1
3896.090909,3898.151515,4270.60606,4440.60606,4192.30303,4348.393939,4989.757575,4199,1
3898.151515,3903.818181,4272.151515,4439.575757,4190.242424,4346.848484,4978.939393,4196.939394,1
3900.212121,3907.424242,4274.212121,4438.545454,4188.181818,4347.363636,4993.878787,4201.575757,1
3898.151515,3904.333333,4276.787878,4435.969697,4183.030303,4343.242424,4999.030303,4199.515151,1
3900.727272,3904.333333,4275.757575,4438.545454,4184.575757,4342.212121,4986.666666,4201.575757,1
3897.636363,3902.787878,4263.393939,4438.030303,4183.030303,4335,4977.90909,4201.575757,1
3897.121212,3903.30303,4265.454545,4439.575757,4181.484848,4332.939394,4988.212121,4201.060606,1
3913.090909,3916.181818,4289.151515,4456.060606,4198.484848,4352.515151,5006.757575,4212.90909,1
3915.666666,3919.787878,4292.242424,4463.272727,4204.151515,4358.181818,5005.212121,4212.90909,1
3909.484848,3912.060606,4287.090909,4458.121212,4194.363636,4346.848484,4999.030303,4206.212121,1
3911.545454,3911.030303,4289.666666,4456.575757,4197.969697,4344.272727,5002.121212,4208.787878,1
3914.636363,3918.757575,4290.181818,4455.545454,4207.242424,4351.484848,5004.181818,4211.363636,1
3914.636363,3923.909091,4293.272727,4455.030303,4208.272727,4355.60606,5002.121212,4207.242424,1
3909.484848,3919.272727,4285.545454,4451.939393,4203.121212,4349.424242,4990.787878,4199,1
3907.424242,3918.242424,4272.666666,4442.666666,4201.575757,4348.393939,4988.727272,4199.515151,1
3904.333333,3914.636363,4270.090909,4437.515151,4196.939394,4349.939394,4993.878787,4202.090909,1
3904.333333,3914.636363,4277.818181,4444.212121,4192.818181,4351.484848,4996.969696,4207.242424,1
3914.636363,3926.484848,4286.060606,4452.454545,4198.484848,4359.212121,5004.181818,4220.636363,1
3913.090909,3921.333333,4281.939394,4445.242424,4196.424242,4354.575757,5004.696969,4221.151515,1
3911.545454,3915.666666,4279.363636,4436.484848,4193.333333,4348.90909,5004.696969,4219.60606,1
3917.212121,3918.757575,4280.90909,4438.030303,4192.30303,4352,5007.272727,4225.787878,1
3916.696969,3915.151515,4280.393939,4440.090909,4187.151515,4346.848484,5003.151515,4226.30303,1
3917.212121,3919.272727,4284,4446.787878,4192.818181,4347.878787,5002.121212,4226.818181,1
3917.212121,3922.878787,4281.424242,4448.848484,4197.454545,4351.484848,5004.696969,4227.333333,1
3916.696969,3917.727272,4278.333333,4442.666666,4192.818181,4349.939394,5011.393939,4228.363636,1
3910.515151,3905.878787,4275.757575,4438.545454,4188.181818,4347.878787,5002.121212,4225.272727,1
3900.212121,3897.636363,4269.060606,4437,4187.151515,4345.30303,4981.515151,4216,1
3908.969697,3910.515151,4274.212121,4439.575757,4190.242424,4348.393939,4990.272727,4216.515151,1
3912.575757,3916.181818,4276.272727,4437.515151,4186.121212,4348.393939,4996.969696,4213.424242,1
3908.969697,3912.060606,4273.181818,4435.454545,4187.666666,4347.363636,4990.787878,4206.212121,1
3916.696969,3914.121212,4279.363636,4439.575757,4194.363636,4350.454545,4998,4209.818181,1
3915.666666,3912.060606,4278.333333,4440.090909,4190.757575,4347.878787,5000.060606,4216,1
3903.30303,3906.393939,4274.212121,4438.030303,4189.727272,4346.848484,4997.484848,4215.484848,1
3897.636363,3900.727272,4267,4434.939394,4186.121212,4344.272727,4990.787878,4201.060606,1
3908.969697,3902.787878,4264.424242,4436.484848,4180.454545,4342.212121,4982.030303,4198.484848,1
3918.242424,3907.939394,4271.636363,4445.242424,4188.181818,4345.30303,4987.181818,4212.90909,1
3912.060606,3902.787878,4273.181818,4446.787878,4195.393939,4348.393939,4994.90909,4213.424242,1
3920.30303,3911.030303,4282.454545,4451.939393,4198.484848,4356.636363,5002.636363,4213.424242,1
3924.939394,3922.363636,4287.60606,4455.030303,4198.484848,4356.636363,5003.151515,4216.515151,1
3914.636363,3915.666666,4282.454545,4445.242424,4194.363636,4347.363636,4999.030303,4217.545454,1
3919.787878,3911.030303,4287.090909,4440.60606,4193.333333,4349.424242,5002.636363,4223.727272,1
3914.121212,3903.30303,4276.272727,4435.969697,4178.90909,4338.60606,4986.151515,4205.181818,1
3898.666666,3898.151515,4259.272727,4429.272727,4167.060606,4326.242424,4971.212121,4186.636363,1
3904.333333,3906.393939,4265.969697,4436.484848,4181.484848,4340.151515,4987.181818,4202.60606,1
3914.121212,3907.939394,4277.30303,4447.30303,4193.848484,4350.969697,4998,4211.878787,1
3918.757575,3915.151515,4287.090909,4453.484848,4197.969697,4348.90909,4990.787878,4206.212121,1
3916.181818,3923.909091,4293.272727,4461.212121,4204.151515,4347.878787,4987.696969,4204.151515,1
3913.60606,3916.181818,4298.424242,4469.454545,4210.333333,4355.090909,4998,4211.878787,1
3918.757575,3910,4301.515151,4471.515151,4209.818181,4361.272727,5007.272727,4219.60606,1
3918.757575,3911.030303,4293.787878,4465.333333,4199.515151,4353.030303,4998,4210.333333,1
3913.090909,3910.515151,4285.545454,4461.727272,4197.454545,4349.939394,4994.90909,4200.030303,1
3901.242424,3902.787878,4282.454545,4457.60606,4205.696969,4355.090909,5003.666666,4201.575757,1
3899.696969,3907.424242,4281.424242,4455.030303,4213.424242,4361.272727,5009.333333,4217.030303,1
3912.575757,3917.727272,4279.363636,4456.575757,4214.454545,4365.393939,5011.90909,4230.424242,1
3908.969697,3906.909091,4272.666666,4450.90909,4205.181818,4356.636363,5003.666666,4216,1
3900.212121,3899.181818,4271.636363,4444.727272,4202.090909,4350.454545,4999.030303,4204.666666,1
3900.727272,3901.242424,4270.090909,4444.727272,4202.60606,4351.484848,4998.515151,4211.363636,1
3902.787878,3900.212121,4267,4445.242424,4197.969697,4348.393939,4991.30303,4212.90909,1
