Time,3 Theta,3 Alpha,3 Low_beta,3 High_beta,3 Gamma,4 Theta,4 Alpha,4 Low_beta,4 High_beta,4 Gamma,5 Theta,5 Alpha,5 Low_beta,5 High_beta,5 Gamma,6 Theta,6 Alpha,6 Low_beta,6 High_beta,6 Gamma,7 Theta,7 Alpha,7 Low_beta,7 High_beta,7 Gamma,8 Theta,8 Alpha,8 Low_beta,8 High_beta,8 Gamma,9 Theta,9 Alpha,9 Low_beta,9 High_beta,9 Gamma,10 Theta,10 Alpha,10 Low_beta,10 High_beta,10 Gamma,11 Theta,11 Alpha,11 Low_beta,11 High_beta,11 Gamma,12 Theta,12 Alpha,12 Low_beta,12 High_beta,12 Gamma,13 Theta,13 Alpha,13 Low_beta,13 High_beta,13 Gamma,14 Theta,14 Alpha,14 Low_beta,14 High_beta,14 Gamma,15 Theta,15 Alpha,15 Low_beta,15 High_beta,15 Gamma,16 Theta,16 Alpha,16 Low_beta,16 High_beta,16 Gamma,Label
2.122375011,99.39985754,35.29817184,17.37586096,9.002404904,3.791007205,73.92657237,25.93581355,13.31305123,6.720335603,2.794226741,99.81519557,35.3053022,17.87015192,9.022421789,3.737283345,88.07993568,31.00269442,15.79522801,7.936822469,3.298764657,73.36094975,26.27658132,13.15274725,6.972029586,2.948182017,89.17772032,31.74402762,16.08838635,8.43820121,3.509255882,98.28618825,34.98013954,17.68142575,9.112804142,3.751053249,85.16670019,31.75188838,16.18598695,8.44144109,3.477469465,91.16751348,32.9426786,17.03649719,8.728044538,3.639602476,118.1728135,42.69956138,21.7422034,11.53924965,4.985099585,86.35681666,30.40741438,15.57811288,7.826515581,3.254444979,113.5286047,39.83020128,20.40337334,10.25578705,4.271924866,87.93708535,31.01127976,16.23768346,8.174242904,3.529630393,94.74237574,33.43358865,17.02195331,8.583965165,3.594157354,red
2.223154068,99.39985754,35.29817184,17.37586096,9.002404904,3.791007205,73.92657237,25.93581355,13.31305123,6.720335603,2.794226741,99.81519557,35.3053022,17.87015192,9.022421789,3.737283345,88.07993568,31.00269442,15.79522801,7.936822469,3.298764657,73.36094975,26.27658132,13.15274725,6.972029586,2.948182017,89.17772032,31.74402762,16.08838635,8.43820121,3.509255882,98.28618825,34.98013954,17.68142575,9.112804142,3.751053249,85.16670019,31.75188838,16.18598695,8.44144109,3.477469465,91.16751348,32.9426786,17.03649719,8.728044538,3.639602476,118.1728135,42.69956138,21.7422034,11.53924965,4.985099585,86.35681666,30.40741438,15.57811288,7.826515581,3.254444979,113.5286047,39.83020128,20.40337334,10.25578705,4.271924866,87.93708535,31.01127976,16.23768346,8.174242904,3.529630393,94.74237574,33.43358865,17.02195331,8.583965165,3.594157354,red
2.324822187,99.39985754,35.29817184,17.37586096,9.002404904,3.791007205,73.92657237,25.93581355,13.31305123,6.720335603,2.794226741,99.81519557,35.3053022,17.87015192,9.022421789,3.737283345,88.07993568,31.00269442,15.79522801,7.936822469,3.298764657,73.36094975,26.27658132,13.15274725,6.972029586,2.948182017,89.17772032,31.74402762,16.08838635,8.43820121,3.509255882,98.28618825,34.98013954,17.68142575,9.112804142,3.751053249,85.16670019,31.75188838,16.18598695,8.44144109,3.477469465,91.16751348,32.9426786,17.03649719,8.728044538,3.639602476,118.1728135,42.69956138,21.7422034,11.53924965,4.985099585,86.35681666,30.40741438,15.57811288,7.826515581,3.254444979,113.5286047,39.83020128,20.40337334,10.25578705,4.271924866,87.93708535,31.01127976,16.23768346,8.174242904,3.529630393,94.74237574,33.43358865,17.02195331,8.583965165,3.594157354,red
2.527230024,99.39985754,35.29817184,17.37586096,9.002404904,3.791007205,73.92657237,25.93581355,13.31305123,6.720335603,2.794226741,99.81519557,35.3053022,17.87015192,9.022421789,3.737283345,88.07993568,31.00269442,15.79522801,7.936822469,3.298764657,73.36094975,26.27658132,13.15274725,6.972029586,2.948182017,89.17772032,31.74402762,16.08838635,8.43820121,3.509255882,98.28618825,34.98013954,17.68142575,9.112804142,3.751053249,85.16670019,31.75188838,16.18598695,8.44144109,3.477469465,91.16751348,32.9426786,17.03649719,8.728044538,3.639602476,118.1728135,42.69956138,21.7422034,11.53924965,4.985099585,86.35681666,30.40741438,15.57811288,7.826515581,3.254444979,113.5286047,39.83020128,20.40337334,10.25578705,4.271924866,87.93708535,31.01127976,16.23768346,8.174242904,3.529630393,94.74237574,33.43358865,17.02195331,8.583965165,3.594157354,red
2.628249168,11.97731633,1.137601125,0.534845564,0.254479357,0.135825188,0.030314661,0.023445304,0.027778359,0.015847038,0.023994547,0.025593216,0.030858618,0.014509217,0.023823637,0.026541725,0.026740737,0.007011478,0.015879396,0.016313194,0.014920617,0.700169626,0.542706194,0.198771081,0.179264823,0.174511618,0.678566543,0.194614008,0.073477357,0.129625066,0.075911487,0.151308866,0.11704744,0.083582725,0.111425604,0.059315299,1.343569866,0.629392502,0.669403332,0.648440579,0.201557795,0.842476992,0.210854131,0.151948913,0.261862396,0.075607089,2.122917237,0.288200795,0.427149566,0.451790512,0.296643048,0.029755936,0.014118795,0.014459479,0.016745418,0.027538337,0.014120579,0.022455914,0.020319321,0.016890203,0.034049334,5.983691968,1.334139812,0.670668779,0.647969019,0.223114637,0.012620524,0.050360458,0.024231129,0.012097922,0.035070842,red
2.729253054,11.97731633,1.137601125,0.534845564,0.254479357,0.135825188,0.030314661,0.023445304,0.027778359,0.015847038,0.023994547,0.025593216,0.030858618,0.014509217,0.023823637,0.026541725,0.026740737,0.007011478,0.015879396,0.016313194,0.014920617,0.700169626,0.542706194,0.198771081,0.179264823,0.174511618,0.678566543,0.194614008,0.073477357,0.129625066,0.075911487,0.151308866,0.11704744,0.083582725,0.111425604,0.059315299,1.343569866,0.629392502,0.669403332,0.648440579,0.201557795,0.842476992,0.210854131,0.151948913,0.261862396,0.075607089,2.122917237,0.288200795,0.427149566,0.451790512,0.296643048,0.029755936,0.014118795,0.014459479,0.016745418,0.027538337,0.014120579,0.022455914,0.020319321,0.016890203,0.034049334,5.983691968,1.334139812,0.670668779,0.647969019,0.223114637,0.012620524,0.050360458,0.024231129,0.012097922,0.035070842,red
2.830018997,11.97731633,1.137601125,0.534845564,0.254479357,0.135825188,0.030314661,0.023445304,0.027778359,0.015847038,0.023994547,0.025593216,0.030858618,0.014509217,0.023823637,0.026541725,0.026740737,0.007011478,0.015879396,0.016313194,0.014920617,0.700169626,0.542706194,0.198771081,0.179264823,0.174511618,0.678566543,0.194614008,0.073477357,0.129625066,0.075911487,0.151308866,0.11704744,0.083582725,0.111425604,0.059315299,1.343569866,0.629392502,0.669403332,0.648440579,0.201557795,0.842476992,0.210854131,0.151948913,0.261862396,0.075607089,2.122917237,0.288200795,0.427149566,0.451790512,0.296643048,0.029755936,0.014118795,0.014459479,0.016745418,0.027538337,0.014120579,0.022455914,0.020319321,0.016890203,0.034049334,5.983691968,1.334139812,0.670668779,0.647969019,0.223114637,0.012620524,0.050360458,0.024231129,0.012097922,0.035070842,red
3.032262087,11.97731633,1.137601125,0.534845564,0.254479357,0.135825188,0.030314661,0.023445304,0.027778359,0.015847038,0.023994547,0.025593216,0.030858618,0.014509217,0.023823637,0.026541725,0.026740737,0.007011478,0.015879396,0.016313194,0.014920617,0.700169626,0.542706194,0.198771081,0.179264823,0.174511618,0.678566543,0.194614008,0.073477357,0.129625066,0.075911487,0.151308866,0.11704744,0.083582725,0.111425604,0.059315299,1.343569866,0.629392502,0.669403332,0.648440579,0.201557795,0.842476992,0.210854131,0.151948913,0.261862396,0.075607089,2.122917237,0.288200795,0.427149566,0.451790512,0.296643048,0.029755936,0.014118795,0.014459479,0.016745418,0.027538337,0.014120579,0.022455914,0.020319321,0.016890203,0.034049334,5.983691968,1.334139812,0.670668779,0.647969019,0.223114637,0.012620524,0.050360458,0.024231129,0.012097922,0.035070842,red
3.13391304,6.42851369,0.758589817,0.392094467,0.21038822,0.134424955,0.021347438,0.015661411,0.015512436,0.012866246,0.019936253,0.019354586,0.023473505,0.02066729,0.023988484,0.029366675,0.022548338,0.015054296,0.013312054,0.010206401,0.014381873,1.162990784,0.803287454,0.281115397,0.139304939,0.210341684,1.215399375,0.327220523,0.112590656,0.121774398,0.059892067,0.291423145,0.216424388,0.155722984,0.110871471,0.054083089,1.832858734,0.650494413,0.878262019,0.695481042,0.130168576,1.572619725,0.496667723,0.42349726,0.296146218,0.080530959,2.824879763,0.598286536,0.546154405,0.45056748,0.216744878,0.036984082,0.023476074,0.018958259,0.015532257,0.024789454,0.018156217,0.061071512,0.013786757,0.017835361,0.025084637,5.86302802,1.005386303,0.434911408,0.429036105,0.206409994,0.015858066,0.070137188,0.038033325,0.017192657,0.030502528,red
3.234784126,6.42851369,0.758589817,0.392094467,0.21038822,0.134424955,0.021347438,0.015661411,0.015512436,0.012866246,0.019936253,0.019354586,0.023473505,0.02066729,0.023988484,0.029366675,0.022548338,0.015054296,0.013312054,0.010206401,0.014381873,1.162990784,0.803287454,0.281115397,0.139304939,0.210341684,1.215399375,0.327220523,0.112590656,0.121774398,0.059892067,0.291423145,0.216424388,0.155722984,0.110871471,0.054083089,1.832858734,0.650494413,0.878262019,0.695481042,0.130168576,1.572619725,0.496667723,0.42349726,0.296146218,0.080530959,2.824879763,0.598286536,0.546154405,0.45056748,0.216744878,0.036984082,0.023476074,0.018958259,0.015532257,0.024789454,0.018156217,0.061071512,0.013786757,0.017835361,0.025084637,5.86302802,1.005386303,0.434911408,0.429036105,0.206409994,0.015858066,0.070137188,0.038033325,0.017192657,0.030502528,red
